,wine_name,taster,desc,rating,Price,Designation,Variety,Appellation,Winery,Alcohol,Bottle Size,Category,Date Published,User Avg Rating,Importer,badge
17,Domaines Schlumberger 2002 Les Princes Abbés Pinot Blanc (Alsace),,"Plump in the mouth, this is a straightforward wine but a clean, fresh, enjoyable one. Aromas are of yellow stone fruit and citrus. It offers core flavors of grapefruit and orange, couched in a soft cloud of honey.",86,$14,Les Princes Abbés,Pinot Blanc,"Alsace, Alsace, France",Domaines Schlumberger,12.1%,750ML,White,6/1/2004,Not rated yet [Add Your Review],Maisons Marques & Domaines USA,
18,Wither Hills 2016 Rarangi Single Vineyard Sauvignon Blanc (Marlborough),Joe Czerwinski,"This is solid, well-made Savvy. White grapefruit and red-currant aromas and flavors are textbook for the variety, while the medium body and long, stony finish also tick the boxes. Drink now.",89,$25,Rarangi Single Vineyard,Sauvignon Blanc,"Marlborough, New Zealand",Wither Hills,13%,750 ml,White,10/1/2017,Not rated yet [Add Your Review],Distinguished Vineyards & Wine Partners,
19,William Heritage 2016 Estate Grown Chenin Blanc (Outer Coastal Plain),Fiona Adams,"Extremely pale in this glass, this has an unusual nose comprised of dried flowers, grass clippings and mulch. With a watery mouthfeel, it is sweet upfront in flavors of ripe lemon and lychee, while the finish is clipped leaving a sudden dryness in the mouth.",80,$18,Estate Grown,Chenin Blanc,"Outer Coastal Plain, New Jersey, US",William Heritage,11%,750 ml,White,4/1/2019,Not rated yet [Add Your Review],,
20,Hanna 2001 Chardonnay (Russian River Valley),,"Smells great, with just the right mix of upfront green apples and the spicy vanillins of smoky oak. Enters the palate with apple and peach flavors and a rich, creamy texture that has extra weight from lees aging. This friendly, polished Chard is as good as many more expensive ones.",87,$18,,Chardonnay,"Russian River Valley, Sonoma, California, US",Hanna,N/A,750ML,White,12/1/2003,Not rated yet [Add Your Review],,
21,Woodstock Collection NV Honey Pie White (California),Matt Kettmann,"Fashion designer/vintner Richard Hirsh is aiming for the mass market with this approachable if slightly sweet blend. Its wide appeal is the result of sun-filled fruit, showing honey, baked apple, orange blossom and tropical notes on the nose. It's soft on the palate, with candied apple, brown sugar and lemongrass flavors.",87,$32,Honey Pie,White Blend,"California, California Other, California, US",Woodstock Collection,14.4%,750 ml,White,5/1/2017,Not rated yet [Add Your Review],,
22,Dane Cellars 2016 Valeria Red (Sonoma Valley),Virginie Boone,"This blends 55% Grenache with 38% Syrah and 7% Mourvèdre. Compressed fruit leather and oak provide a texture of gritty tannin and full, fleshy and distinctly savory flavor, dotted in violet aromas and strawberry jam.",90,$40,Valeria,Rhône-style Red Blend,"Sonoma Valley, Sonoma, California, US",Dane Cellars,15.5%,750 ml,Red,7/1/2019,Not rated yet [Add Your Review],,
23,Oak Grove 2010 Reserve Shiraz (California),,"This is thin and uninspiring, but it's dry, with watery berry and spice flavors.",81,$8,Reserve,Shiraz,"California, California Other, California, US",Oak Grove,13%,750 ml,Red,10/1/2012,Not rated yet [Add Your Review],,
24,Inconceivable 2014 After the Floods Cabernet Sauvignon (Columbia Valley (WA)),Sean P. Sullivan,"The aromas offer varietal notes of dried and fresh herb, along with whiffs of spice and cherry. The flavors are somewhat lighter in style, with the tannins having a grainy feel.",85,$25,After the Floods,Cabernet Sauvignon,"Columbia Valley (WA), Columbia Valley, Washington, US",Inconceivable,N/A,750 ml,Red,3/1/2019,Not rated yet [Add Your Review],,
25,Veramar 2009 Cabernet Franc (Virginia),Anna Lee C. Iijima,"On the nose, this full of spice, char, and black fruit with a hint of barnyard. There's a hint of green bramble, however, that persists on the soft black cherry palate as well, adding a sour, stalky note in the mid palate.",84,$21,,Cabernet Franc,"Virginia, Virginia, US",Veramar,13.4%,750 ml,Red,2/1/2011,Not rated yet [Add Your Review],,
26,Oakville East 2012 Core Stone Cabernet Franc-Cabernet Sauvignon (Oakville),Virginie Boone,"With a slight preponderance of Cabernet Sauvignon to Cabernet Franc, this is a voluptuously smoky wine, rich in graham cracker, marshmallow and cedar. Moderate in oak and tannin, it brings full-bodied flavors to life slowly in the glass, finishing in leather and chocolate.",90,$125,Core Stone,"Cabernet Franc-Cabernet Sauvignon, Red Blends","Oakville, Napa, California, US",Oakville East,14.8%,750 ml,Red,12/31/2015,Not rated yet [Add Your Review],,
27,Stefania 2007 Eaglepoint Ranch Syrah (Mendocino County),,"Shows the ripeness and concentrated tannins this mountain vineyard is known for, with a flood of blackberry, black pepper and smoky oak flavors. Could be firmer and crisper in structure, but it's a nice, dry, full-bodied Syrah to drink now.",87,$32,Eaglepoint Ranch,Syrah,"Mendocino County, Mendocino County, California, US",Stefania,14.5%,750 ml,Red,12/31/2009,Not rated yet [Add Your Review],,
28,Fattoria La Rivolta 2009 Terre di Rivolta Riserva  (Aglianico del Taburno),Kerin O’Keefe,"This Aglianico opens with aromas of new oak, vanilla, chocolate and overripe black fruit, all of which carry over to the one-dimensional palate. It seems tired, and the sugary sweetness, dense concentration and evident alcohol give the wine a lumbering character.",86,$55,Terre di Rivolta Riserva,"Aglianico, Italian Red","Aglianico del Taburno, Southern Italy, Italy",Fattoria La Rivolta,14.5%,750 ml,Red,9/1/2014,Not rated yet [Add Your Review],T. Edward Wines Ltd,
29,Cantine Ermes 2017 Sirocco Red (Sicilia),Kerin O’Keefe,"This blend of Nero d'Avola and Cabernet Sauvignon has aromas of dark-skinned fruit and cooking spice that carry over to the simple palate alongside a hint of green peppercorn. It's easygoing, with laid-back tannins. Drink soon.",85,$14,Sirocco,"Red Blends, Red Blends","Sicilia, Sicily & Sardinia, Italy",Cantine Ermes,13%,750 ml,Red,8/1/2018,Not rated yet [Add Your Review],USA Wine West,
30,Fattori 2010 Motto Piane  (Soave),,"Motto Piane delivers a huge and sophisticated style (thanks to late-harvest fruit) with enormous intensity and thick glycerin streaks visible down the side of the glass. Aromas here include crushed white peppercorn, dried sage, almond paste and mature fruit.",91,$18,Motto Piane,"Garganega, Italian White","Soave, Veneto, Italy",Fattori,14.5%,750 ml,White,8/1/2011,Not rated yet [Add Your Review],The Wine Company,
31,Jada Vineyard & Winery 2014 1149 Rosé of Mourvèdre (Paso Robles Willow Creek District),Matt Kettmann,"Petal pink in the glass, this wine was specifically grown to be a rosé by winemaker David Galzignato. The nose is pretty with bubble gum, strawberry, raspberry and a bit of lime peel, and the palate offers flavors of ruby-red grapefruit and lemon juice, with bright acidity throughout.",88,$25,1149 Rosé of,Mourvèdre,"Paso Robles Willow Creek District, Central Coast, California, US",Jada Vineyard & Winery,13.5%,750 ml,Rose,8/1/2015,Not rated yet [Add Your Review],,
32,Charles Krug 2005 Cabernet Sauvignon (Yountville),,"Charles Krug's style remains the same over the decades, producing balanced, dry table wines capable of some aging. This Cab is tannic and a bit austere now, with suggestions of blackberries and cherries. But the structure is very fine, especially the tannins, which are rich and complex. Drinkable now, with decanting, and should develop over the next six years.",87,$27,,Cabernet Sauvignon,"Yountville, Napa, California, US",Charles Krug,14%,750 ml,Red,6/1/2008,Not rated yet [Add Your Review],,
33,Soleau 2008 Viognier (Sierra Foothills),,"Dull and uninteresting, with some simple apricot flavors and unripe vegetal notes. Acceptable for its dryness and crispness, period.",80,$10,,Viognier,"Sierra Foothills, Sierra Foothills, California, US",Soleau,14.6%,750 ml,White,9/1/2010,Not rated yet [Add Your Review],,
34,Fire Block 2003 Old Vine Grenache (Clare Valley),Joe Czerwinski,"Simple tart-cherry flavors finish crisp. This is on the light and lean side, but mouthwatering on the finish.",86,$19,Old Vine,Grenache,"Clare Valley, South Australia, Australia",Fire Block,N/A,750 ml,Red,6/1/2007,Not rated yet [Add Your Review],World Wine Headquarters,
35,Ferrari NV Rosé Sparkling (Trento),,"Layered, deep and opulent, this yeasty rosé sparkling wine offers warm tones of baked bread, mature peach and honey with tart accents in the form of blueberry and raspberry. The wine delivers thick creaminess in the mouth and long persistency.",90,$30,Rosé,"Sparkling Blend, Sparkling","Trento, Northeastern Italy, Italy",Ferrari,12.5%,750 ml,Sparkling,7/1/2009,Not rated yet [Add Your Review],Palm Bay International,
36,Zull 2007 Innere Bergen Riesling (Niederösterreich),Roger Voss,"Even in cooler 2007, Zull scores with this wine. It has all the right pear and apple perfumes, along with vibrant acidity and minerality. It's going to develop well over the next 4 years into a fine, elegant wine. Screwcap.",90,$25,Innere Bergen,Riesling,"Niederösterreich, Austria",Zull,12.5%,750 ml,White,10/1/2008,Not rated yet [Add Your Review],Magellan Wine Imports,Editors' Choice
37,Quinta de la Rosa 2006 Late Bottled Vintage  (Port),Roger Voss,"With its attractive 500-ml package, this is a great way to present Port. The wine is perfumed, soft, full of ripe prune and chocolate flavors, with an attractive freshness.",88,N/A,Late Bottled Vintage,"Port, Port Blend","Port, Portugal",Quinta de la Rosa,20%,500 ml,Port/Sherry,12/31/2011,Not rated yet [Add Your Review],Vinum Wine Importing and Distributing LLC,
38,Quinta da Alorna NV Abafado 5 Years Vinho Licoroso Fernão Pires (Tejo),Roger Voss,"Made by adding brandy to wine must, this is a sweet, liquorous wine. It has bitter orange and honey flavors that are given weight and richness by spirit and wood. It is best as an apéritif wine, chilled.",87,$11,Abafado 5 Years Vinho Licoroso,"Fernão Pires, Portuguese White","Tejo, Portugal",Quinta da Alorna,17.5%,750 ml,Dessert,6/1/2014,Not rated yet [Add Your Review],American B.D,Best Buy
39,Keuka Spring 2010 Gewürztraminer (Finger Lakes),Anna Lee C. Iijima,"Ripe and tropical on the nose, this off-dry wine is chock-full of fleshy cantaloupe and nectarine flavors, balanced by nervy acidity and bitter tea-leaf notes. Full bodied and a tad blowsy, this finishes long on a floral note.",87,$17,,Gewürztraminer,"Finger Lakes, Finger Lakes, New York, US",Keuka Spring,13%,750 ml,White,11/1/2012,Not rated yet [Add Your Review],,
40,Cennatoio 2011 O'Leandro Riserva  (Chianti Classico),Kerin O’Keefe,"Made with Sangiovese and a small percentage of Cabernet Sauvignon, this opens with aromas of coconut, toast and oak-driven spice. The evolved palate offers coconut, clove and ground black pepper but the fruit richness has almost dried up entirely, leaving an astringent finish.",86,$45,O'Leandro Riserva,"Red Blends, Red Blends","Chianti Classico, Tuscany, Italy",Cennatoio,14.5%,750 ml,Red,9/1/2015,Not rated yet [Add Your Review],Montcalm Wine Importers,
41,Marimar Torres 2000 Don Miguel Vineyard Pinot Noir (Russian River Valley),,"Dark berry fruit, tea and herb accents and prominent chocolate notes feature in this multifaceted wine. It's plummy and woodsy, full in feel, yet tart and tangy on the long, rich, dark chocolate close. Drink now–2006.",88,$32,Don Miguel Vineyard,Pinot Noir,"Russian River Valley, Sonoma, California, US",Marimar Torres,14%,750ML,Red,10/1/2002,Not rated yet [Add Your Review],,
42,DFJ Vinhos 2018 Brigando Rosé (Lisboa),Roger Voss,"All fruit, this bright, candied wine is light with acidity and a soft touch of strawberry flavors. Its freshness is balanced with ripeness. Drink now.",86,$10,Brigando,Rosé,"Lisboa, Portugal",DFJ Vinhos,12%,750 ml,Rose,12/31/2019,Not rated yet [Add Your Review],Lionstone International,Best Buy
43,Montaudon NV Réserve Première Brut  (Champagne),Roger Voss,"This is a bright, crisp, nonvintage blend. While it is fruity and youthful in character, the blend's older vintages also make it taste mature. Pear and apple notes dominate, lacing through the tangy, zesty texture.",88,N/A,Réserve Première Brut,"Champagne Blend, Sparkling","Champagne, Champagne, France",Montaudon,12%,750 ml,Sparkling,12/1/2012,Not rated yet [Add Your Review],Total Wine & More,
44,Benton-Lane 2006 Pinot Gris (Willamette Valley),Paul Gregutt,"Stainless steel fermented, this bright, juicy PG did not go through malolactic fermentation. The crisp acids add definition and lift, the flavors a generous mix of pear, apple and tropical fruits. Tasted just a few months after harvest, it's a great wine for summer enjoyment while the young fruit flavors are in full bloom.",88,$16,,Pinot Gris,"Willamette Valley, Willamette Valley, Oregon, US",Benton-Lane,N/A,750 ml,White,7/1/2007,Not rated yet [Add Your Review],,
45,Domaine des Roches Neuves 2018  Saumur-Champigny,Roger Voss,"Red fruits sing in this attractive, fruity wine made, like all the wines of this producer, from biodynamically grown grapes. The smooth texture and fresh acidity are balanced with a rounded aftertaste. This domaine wine is made to emphasize fruit and succeeds perfectly.",88,$30,,Cabernet Franc,"Saumur-Champigny, Loire Valley, France",Domaine des Roches Neuves,13.5%,750 ml,Red,5/1/2019,Not rated yet [Add Your Review],Kermit Lynch Wine Merchant,
46,Luna De Esperanza 2013 Barrel Fermented Malbec (Uco Valley),Michael Schachner,"A pitch-black color, along with piercing aromas of coffee, prune and fig, announce a drawing, full-bodied palate. Dark fruit flavors come with coffee notes and lemony oak in front of an edgy finish of drying tannins. Drink through 2022.",90,$90,Barrel Fermented,Malbec,"Uco Valley, Mendoza Province, Argentina",Luna De Esperanza,14.7%,750 ml,Red,8/1/2019,Not rated yet [Add Your Review],"MHW, Ltd",
47,Two Angels 2007 Maycacamas Mountains Cabernet Sauvignon (Sonoma Valley),,"Rich and fruity, a voluptuous Cab with flavors of blackberries, black currants and cocoa, with notes of raisins and a nice appliqué of toasty cedar. Good over the next few years.",87,$28,Maycacamas Mountains,Cabernet Sauvignon,"Sonoma Valley, Sonoma, California, US",Two Angels,14.6%,750 ml,Red,8/1/2009,Not rated yet [Add Your Review],,
48,Heart & Hands 2011 Polarity Pinot Noir (Finger Lakes),Anna Lee C. Iijima,"Polarity is an unusual golden-hued wine made from Pinot Noir grapes that have minimal skin contact after pressing. Barrel fermentation and aging, as well as substantial lees stirring lend a rich, rounded palate and abundant notes of caramel, butter and popcorn. All this lusciousness is balanced by fresh apple and lemon flavor, and brisk acidity.",87,$27,Polarity,Pinot Noir,"Finger Lakes, Finger Lakes, New York, US",Heart & Hands,12.8%,750 ml,White,3/1/2014,Not rated yet [Add Your Review],,
49,Schloss Vollrads 2013 Qualitätswein Riesling (Rheingau),Anna Lee C. Iijima,"While zesty lime notes stand firm from start to finish, plump, white peach and tangerine flavors seem to melt into the palate of this off-dry Riesling. Lavish, yet composed, it's a showcase of ripeness maintained in balance. An irresistible sip, pour after pour.",90,$20,Qualitätswein,Riesling,"Rheingau, Germany",Schloss Vollrads,10%,750 ml,White,10/1/2015,Not rated yet [Add Your Review],Schmitt-Söhne USA,Editors' Choice
50,Black Hills 2013 Viognier (Okanagan Valley),Paul Gregutt,"Sharp upon entry, this has a concentration of citrus rind amid penetrating flavors of grapefruit, pineapple, orange and nectarine. The buoyant acidity keeps everything in proportion, with just a hint of bitterness at the edge of the finish.",89,$25,,Viognier,"Okanagan Valley, British Columbia, Canada",Black Hills,13.3%,750 ml,White,3/1/2015,Not rated yet [Add Your Review],Black Hills Winery,
51,Carpineto 2011 Riserva  (Chianti Classico),Kerin O’Keefe,"Mature plum, scorched earth, grilled sage and a whiff of oak-driven spice aromas lead the nose. The soft, easygoing palate offers juicy black cherry, vanilla, clove and a hint of game alongside rounded tannins.",88,$26,Riserva,"Red Blends, Red Blends","Chianti Classico, Tuscany, Italy",Carpineto,13.5%,750 ml,Red,6/1/2016,Not rated yet [Add Your Review],Opici Wines,
52,Structure 2017 Craftsman Cabernet Sauvignon (Columbia Valley (WA)),Sean P. Sullivan,"The aromas offer notes of green flower, green pepper, barrel spice, anise and cherry. There's a lovely sense of freshness and texture to the palate. Not meant to be enjoyed on its own, it will shine at the dinner table.",90,$28,Craftsman,Cabernet Sauvignon,"Columbia Valley (WA), Columbia Valley, Washington, US",Structure,14.6%,750 ml,Red,3/1/2020,Not rated yet [Add Your Review],,
53,Domeniile Sahateni 2014 Karakter Cabernet Sauvignon (Dealurile Munteniei),Jeff Jenssen,"Dark garnet in the glass this Cabernet Sauvignon has aromas of blackberry, bramble and mocha. In the mouth, there are smooth tannins and flavors of cinnamon, chocolate, vanilla and black raspberry.",87,$18,Karakter,Cabernet Sauvignon,"Dealurile Munteniei, Romania",Domeniile Sahateni,13.5%,750 ml,Red,9/1/2020,Not rated yet [Add Your Review],Terra Firma USA Inc,
54,Erath 2008 Knight's Gambit Pinot Gris (Dundee Hills),Paul Gregutt,"This limited-edition Pinot Gris was barrel-fermented and aged sur lie. It broadens out the palate and adds layers of buttered popcorn, caramel and toasted hazelnuts to the apple and pear fruit flavors.",87,$22,Knight's Gambit,Pinot Gris,"Dundee Hills, Willamette Valley, Oregon, US",Erath,N/A,750 ml,White,4/1/2010,Not rated yet [Add Your Review],,
55,Cantina Terlano 2003 Nova Domus Riserva White (Alto Adige),,"A blend of Pinot Bianco, Chardonnay and Sauvignon Blanc that was given more time in wood and bottle, this is a satisfying and sophisticated wine. Its thick concentration and creamy fruit nuances provide loads of pleasure.",91,$49,Nova Domus Riserva,White Blend,"Alto Adige, Northeastern Italy, Italy",Cantina Terlano,14%,750 ml,White,12/1/2007,Not rated yet [Add Your Review],Banville Wine Merchants,
56,Cepa 21 2016 Hito  (Ribera del Duero),Michael Schachner,"Oak-based lactic aromas include graphite and pencil eraser notes along with heavy black fruit scents. This is big and a bit jumbled on the palate. Blackberry and black currant flavors are accompanied by pasty oak notes. On the finish, this is grabby but with cutting acidity.",87,$18,Hito,Tempranillo,"Ribera del Duero, Northern Spain, Spain",Cepa 21,13.5%,750 ml,Red,12/31/2018,Not rated yet [Add Your Review],"Skurnik Wines, Inc",
57,Mirassou 2016 Cabernet Sauvignon (California),Jim Gordon,"This wine has an unusually deep color, assertive aromas like wood smoke and cloves and very concentrated, spicy, charred flavors that don't seem to come from the grapes but probably from oak products used during aging.",84,$12,,Cabernet Sauvignon,"California, California Other, California, US",Mirassou,13.6%,750 ml,Red,8/1/2018,Not rated yet [Add Your Review],,
58,Eruption 2013 Volcano Ridge Vineyard Red (High Valley),Jim Gordon,"This full-bodied wine packs a lot of punch in terms of mouthfeel and flavor. The color is extremely dark, and the flavors resemble dark chocolate, black cherries and baking spices. It is dry in style, with lip-smacking, nicely astringent tannins that counterbalance all that richness.",92,$24,Volcano Ridge Vineyard,"Red Blends, Red Blends","High Valley, Lake County, California, US",Eruption,14.4%,750 ml,Red,11/1/2016,Not rated yet [Add Your Review],,
59,Digi Or NV Falanghina Falanghina (Campania),,"The nose here is sweex0t-smelling and penetrating, making it reminiscent of honey, freesia flowers and lilacs. This expression of Falanghina has a lean, easy feel in the mouth with sweet almost cloying flavors on the close.",85,$20,Falanghina,"Falanghina, Italian White","Campania, Southern Italy, Italy",Digi Or,12%,750 ml,White,10/1/2008,Not rated yet [Add Your Review],Martin Ulisse Imports,
60,Mitolo 2005 Reiver Shiraz (Barossa Valley),Joe Czerwinski,"This brooding beast starts with scents of dark chocolate and coffee, then adds plenty of fruit in the form of blueberries and blackberries on the rich, chewy palate. Despite the wine's considerable heft and density of fruit, there's enough spicy complexity and a surprising degree of elegance to the long, tongue-tingling finish. Drink now–2015.",94,$47,Reiver,Shiraz,"Barossa Valley, South Australia, Australia",Mitolo,14.5%,750 ml,Red,4/1/2007,Not rated yet [Add Your Review],Vintus LLC,Editors' Choice
61,St. Supéry 2003 Virtu White (Napa Valley),,"Semillon has balanced much of the aggressive grassiness of the Sauvignon Blanc, while what seems like oak also brings sweetness. The result is a fruity, nutty, creamy wine, with a long, spicy finish.",88,$25,Virtu,White Blend,"Napa Valley, Napa, California, US",St. Supéry,11%,750ML,White,10/1/2005,Not rated yet [Add Your Review],,
62,Bryn Mawr Vineyards 2018 Innovation Series Amber Rosé (Willamette Valley),Paul Gregutt,"Delicate, expressive and unique, this orange wine co-ferments Pinot Gris (on the skins) with 5% Muscat. It's a bouquet of flowers with a hint of honey, and the floral character continues on through a delightful palate, anchored in juicy citrus. Winemaker Rachel Rose calls out peach gummies and loquat, but by any name the flavors are exotic, lingering and delicious.",91,$25,Innovation Series Amber,Rosé,"Willamette Valley, Willamette Valley, Oregon, US",Bryn Mawr Vineyards,11.4%,750 ml,Rose,10/1/2019,Not rated yet [Add Your Review],,Editors' Choice
