,taster,desc,rating,Price,Designation,Variety,Appellation,Winery,Alcohol,Bottle Size,Category,Date Published,User Avg Rating,Importer,badge
15,,"Made from 100% Cab Franc, this is a soft, rather one-dimensional wine. It has complex flavors of cherries, red currants, cola, white pepper and herbs, but is short on structure and interest. Drink now.",86,$40,Saunders Vineyard Reserve,Cabernet Franc,"Carmel Valley, Central Coast, California, US",Boëté,14%,750 ml,Red,12/1/2013,Not rated yet [Add Your Review],,
16,Kerin O’Keefe,"With aromas of violet, tilled soil and red berries, this blend of Sangiovese and Merlot recalls sunny Tuscany. It's loaded with wild cherry flavors accented by white pepper, cinnamon and vanilla. The palate is uplifted by vibrant acidity and fine tannins.",89,$27,Belcore,"Red Blends, Red Blends","Toscana, Tuscany, Italy",I Giusti e Zanza,14.5%,750 ml,Red,2/1/2014,Not rated yet [Add Your Review],Superior Wines,
17,Roger Voss,"Bright, fruity Sauvignon Blanc that has a touch of tropical fruits as well as more citrus and grassy characters. Klassik is the most open, attractive, ready-to-drink style from Styria. Screwcap.",89,N/A,Steirische Klassik,Sauvignon Blanc,"Steiermark, Austria",Neumeister,12.5%,750 ml,White,7/1/2013,Not rated yet [Add Your Review],"Frederick Wildman & Sons, Ltd",
18,Sean P. Sullivan,"Blended with 8% Cabernet Franc and 6% Merlot, this wine suggests blackberry seed, plum, cinnamon stick and anise. Abundant blue-fruit flavors show good depth and intensity backed by tannins with a lightly chalky feel.",89,$36,,Cabernet Sauvignon,"Columbia Valley (WA), Columbia Valley, Washington, US",Tamarack Cellars,14.3%,750 ml,Red,5/1/2015,Not rated yet [Add Your Review],,
19,Matt Kettmann,"Sharp lime skins, rich petrol and yellow grapefruit juice combine for that familiarly fresh Riesling aroma, yet this one is a tad richer, with a lemon pastry note. Dried lemons and apples show on the palate, where a zesty, tangy yuzu acidity meets with ginger and lemongrass notes. A complex bottling.",90,$24,,Riesling,"Santa Ynez Valley, Central Coast, California, US",Brooklyn West,14.2%,750 ml,White,7/1/2016,Not rated yet [Add Your Review],,Editors' Choice
20,Roger Voss,"92-94 Barrel sample. There's great fruit here, lovely ripe dark plums and black cherry flavors pushing through the hugely sweet tannins. It's very opulent, a great full-fruited wine.",93,N/A,Barrel sample,Bordeaux-style Red Blend,"Pessac-Léognan, Bordeaux, France",Château Larrivet Haut-Brion,N/A,750ML,Red,6/1/2006,Not rated yet [Add Your Review],1_No Submitting Co,
21,Virginie Boone,"Fresh in mouthwatering minerality, this is positively bright, balanced and layered in lingering notes of lemon curd, green apple and just-picked vanilla bean. It is a gloriously delicate wine that's named for one of Marimar's beloved Springer Spaniels, made from one block planted to a selection of the See clone.",94,$43,Don Miguel Vineyard Bonita's Hill Unfiltered,Chardonnay,"Russian River Valley, Sonoma, California, US",Marimar Estate,13.5%,750 ml,White,10/1/2014,Not rated yet [Add Your Review],,
22,Roger Voss,"Ripe and luscious, this is made almost entirely from Sémillon. Its rich texture is packed with flavors of honeyed apricots and sultanas. A hint of toast is fully absorbed into this intensely sweet wine, and the final citrusy edge adds a fine, contrasting point.",90,$45,Château Latrezotte La Sauternes de Ma Fille,"Bordeaux-style White Blend, White Blend","Sauternes, Bordeaux, France",Bernard Magrez,13.5%,750 ml,Dessert,2/1/2013,Not rated yet [Add Your Review],Bernard Magrez,
23,Anna Lee C. Iijima,"Delicate floral notes brighten the savory apple and herb flavors on this dry, minerally Riesling. Vibrant acidity carries the medium-long finish that's marked by a hint of white spice.",86,$29,Reserve,Riesling,"Finger Lakes, Finger Lakes, New York, US",Heart & Hands,12.3%,750 ml,White,12/31/2012,Not rated yet [Add Your Review],,
24,Kerin O’Keefe,"Fresh and medium bodied, this has delicate scents of white stone fruit and spring flowers. On the juicy palate, fresh acidity lifts ripe pear, apple, white peach and fennel before finishing on a tangy mineral note suggesting oyster shell.",91,$18,Raiante,"Ribolla Gialla, Italian White","Collio, Northeastern Italy, Italy",Conti Formentini,13%,750 ml,White,10/1/2020,Not rated yet [Add Your Review],"Frederick Wildman & Sons, Ltd",
25,,"Rovittello (a traditional blend of Nerello Mascalese and Nerello Cappuccio from Mount Etna) delivers a steady stream of berry flavors followed by spice, clove, vanilla and drying mineral tones. The wine offers tight, polished tannins with uncommon sophistication and elegance that leaves a lasting impression.",90,$40,Rovittello,"Red Blends, Red Blends","Etna, Sicily & Sardinia, Italy",Benanti,13.5%,750 ml,Red,2/1/2009,Not rated yet [Add Your Review],Stellar Cellars Imports,
26,Virginie Boone,"Plenty of dark plum and blackberry going on here, from a Zin sourced from two organically farmed vineyards. Low berry weights from the dry vintage have contributed to a concentrated wine here, with soft tannins and some spiciness, an overall balanced wine.",88,$28,Pick and Shovel,Zinfandel,"Mendocino County, Mendocino County, California, US",Saracina,14.9%,750 ml,Red,10/1/2011,Not rated yet [Add Your Review],,
27,Jim Gordon,"This is a nicely balanced wine that lifts rich, concentrated black-cherry and blackberry flavors with light, firm tannins and bright acidity. It's a sure-fire crowd pleaser.",90,$15,,Merlot,"Lake County, Lake County, California, US",Shooting Star,14.2%,750 ml,Red,7/1/2020,Not rated yet [Add Your Review],,Best Buy
28,Anne Krebiehl MW,"Apricot, damask rose and earth frame this vivacious Gewurztraminer that benefits from 2014's verve. The palate comes with some of the characteristic viscosity but the zest of orange and lemon peel balances this out beautifully, creating a lovely, refreshing arc.",91,$25,Collection,"Gewürztraminer, Gewürztraminer","Alsace, Alsace, France",Kuentz-Bas,13.5%,750 ml,White,12/31/2015,Not rated yet [Add Your Review],Kermit Lynch Wine Merchant,
29,Virginie Boone,"Made in partnership with Alpha Omega Winery's Jean Hoefliger, this famous namesake wine embraces the fullness that is Napa Valley concentration and sunny richness, showing baked plum, cinnamon and generous tannin and oak. The backbone is plush and lush in texture, evolving as it opens in the glass. Enjoy this in good time; should show best 2024–2034.",95,$175,MR,Bordeaux-style Red Blend,"Napa Valley, Napa, California, US",Michel Rolland Napa Valley,14.9%,750 ml,Red,7/1/2019,Not rated yet [Add Your Review],,Cellar Selection
30,Kerin O’Keefe,"Aromas of elderflower, Granny Smith apple and a whiff of white almond lead the nose while the rounded palate offers white peach and green melon. Tangy acidity keeps it fresh and juicy.",88,$20,,"Turbiana, Italian White","Lugana, Lombardy, Italy",Cà di Vitti,13%,750 ml,White,8/1/2020,Not rated yet [Add Your Review],"Matinicus Wines, LLC",
31,,"Not showing a lot right now, a closed, muted Pinot that doesn't want to give it up quite yet. Feels soft in the mouth, with some dusty tannins. You have to chew on the wine to find the blackberries and cherries, but they're there. We know that this is a wine that ages well, so stick it away for five years.",89,$75,Allen Vineyard,Pinot Noir,"Russian River Valley, Sonoma, California, US",Williams Selyem,14.1%,750 ml,Red,3/1/2007,Not rated yet [Add Your Review],,
32,,"Deep purplish-scarlet in color, with rich tobacco, cassis and smoke aromas and an incredibly dense mouthfeel. The dry fruit and soft, luscious tannins make the wine weightless on the palate.",91,$15,Envero,Carmenère,"Colchagua Valley, Chile",Apaltagua,N/A,750ML,Red,12/1/2002,Not rated yet [Add Your Review],1_No Submitting Co,Best Buy
33,Joe Czerwinski,,87,$21,The Trinity,Bordeaux-style Red Blend,"Hawke's Bay, New Zealand",Trinity Hill,13.5%,750 ml,Red,11/1/2008,Not rated yet [Add Your Review],Via Pacifica Imports,
34,Roger Voss,"Pink fruited and light, with an attractive herbal character. The crisp acidity cuts right through the rich mouthfeel.Bright and lively, the finish has a grapefruit note that lends lift.",90,$18,Les Belles Bastilles,Rosé,"Coteaux Varois, Provence, France",Château de l'Escarelle,13%,750 ml,Rose,7/1/2012,Not rated yet [Add Your Review],Willette Wines,Editors' Choice
35,,"This wine took a bad stumble last year and hasn't recovered. The ‘05, despite the cooler vintage, has a hot, cooked taste, yet somehow manages to be vegetal at the same time.",81,$17,,Zinfandel,"Lodi, Central Valley, California, US",Seven Deadly Zins,15%,750ML,Red,4/1/2007,Not rated yet [Add Your Review],,
36,Virginie Boone,"Yeasty, robust tannin meets dark baked fruit and tangy tea notes in this full-bodied, intensely built wine. A stemmy, earthy component adds savoriness and complexity.",89,$36,,Pinot Noir,"Russian River Valley, Sonoma, California, US",Inspiration,14.8%,750 ml,Red,12/1/2017,Not rated yet [Add Your Review],,
37,,"This wine shows plenty of Chardonnay and oak character, with a creamy core of honey, peaches and toast. It will go with a wide variety of fare, from halibut and grilled tuna to broiled chicken and mushroom risotto.",91,$42,Collection,Chardonnay,"Carneros, Napa-Sonoma, California, US",Jeff Gordon,14.2%,750 ml,White,7/1/2014,Not rated yet [Add Your Review],,
38,,"A big, big wine. Inky black, with intense cassis, blackberry and plum aromas, and plenty of oak. Tight and tannic now, but the plentiful fruit flavors are lurking just below the surface. Age should do the trick.",89,$28,Lytton Estate,Syrah,"Dry Creek Valley, Sonoma, California, US",Ridge,N/A,750 ml,Red,10/1/1999,Not rated yet [Add Your Review],,
39,Roger Voss,"A smoky spicy wine that is full of berry fruits and with some toasty wood-aging flavors. With its tannic structure it will need to age, although already the bright berry fruits are generous and ripe. Drink from 2022.",91,$50,Vieilles Vignes,Pinot Noir,"Savigny-lès-Beaune, Burgundy, France",Domaine Pierre Guillemot,13%,750 ml,Red,11/1/2017,Not rated yet [Add Your Review],Kermit Lynch Wine Merchant,
40,,"Dry and harsh, almost old-fashioned in its tannic astringency, with a green kick of mint. Relieved by a streak of black cherries and cedar. Drink now.",84,$36,,Merlot,"Napa Valley, Napa, California, US",Saddleback,14.2%,750 ml,Red,12/1/2009,Not rated yet [Add Your Review],,
41,,"A barrel-fermented Chardonnay, with a drop of Viognier. Shows Chard flavors of pears, peaches and citrus with a tropical flower note and lots of vanilla cream. There's some bitterness throughout.",84,$21,White Wine,White Blend,"Calaveras County, Sierra Foothills, California, US",Indian Rock,14.2%,750 ml,White,7/1/2008,Not rated yet [Add Your Review],,
42,Matt Kettmann,"Very treacly aromas of overripe strawberry, brown sugar and maple syrup show on this dessert-like wine. It's very sweet on the palate, with sweet tea, prune and raisin flavors.",84,$40,Blood of Jove Off-Dry,Sangiovese,"Adelaida District, Central Coast, California, US",Dubost,18.7%,750 ml,Red,11/1/2017,Not rated yet [Add Your Review],,
43,Michael Schachner,"Pointy on the nose, with modest fruit aromas suggestive of raspberry. A bit astringent across the palate, with red plum flavors that hit hard then fade fast, leaving bitterness akin to espresso. A crisp, juicy, tight style.",84,$7,Viña Temprana,"Garnacha, Grenache","Campo de Borja, Northern Spain, Spain",Bodegas Aragonesas,13%,750 ml,Red,11/1/2011,Not rated yet [Add Your Review],Scoperta Importing Co. Inc,Best Buy
44,Kerin O’Keefe,"A robust blend of 70% Sangiovese and 30% Cabernet Sauvignon, this offers aromas of baked plum, mocha, menthol and oak-driven spice. The hearty palate initially opens with black fruit, chocolate, licorice and dried herb flavors but the heat of evident alcohol dominates the finish and the close.",89,$57,Il Borgo,"Red Blends, Red Blends","Toscana, Tuscany, Italy",Cabreo,15%,750 ml,Red,8/1/2015,Not rated yet [Add Your Review],Kobrand,
45,Susan Kostrzewa,"Black currant, red berry, tobacco and spice give this robust wine a masculine edge. Luscious berry combined with savory spice and leather is backed by rich, sturdy tannins and a long, serious finish. Can age, but is excellent to drink now.",90,$37,Lapa,Cabernet Sauvignon,"Stellenbosch, South Africa",Guardian Peak,15%,750 ml,Red,9/1/2009,Not rated yet [Add Your Review],Terlato Wines International,
46,,"Impresses for its dryness, big tannins and acids, and for the complexity of flavor. Offers delicious waves of blackberry tart and blueberry muffin, sprinkled with cocoa and cinnamon and a drizzle of cassis. Really a beautiful Syrah, classy and elegant. Drinks well now and through 2012.",92,$29,Amber Ridge Vineyard,Syrah,"Russian River Valley, Sonoma, California, US",Novy,14.4%,750 ml,Red,10/1/2010,Not rated yet [Add Your Review],,
47,Roger Voss,"A structured blend of 65% Merlot with Cabernet Sauvignon, this wine offers elegant, juicy black-currant flavors. It displays a crisp character typical of the vintage, bringing freshness to this wine that will be ready from 2021.",90,$20,,Bordeaux-style Red Blend,"Graves, Bordeaux, France",Château le Bonnat,13.5%,750 ml,Red,5/1/2020,Not rated yet [Add Your Review],Baron Francois Ltd,
48,,"A trifle vegetal on the nose, but boasts a supple, medium-weight mouthfeel to help compensate. Sappy cherry fruit and toasty oak define the flavors.",84,$32,Family Reserve,Syrah,"California, California Other, California, US",Venge,N/A,750ML,Red,9/1/2005,Not rated yet [Add Your Review],,
49,,"Levia Gravia (a hearty blend of Cabernet Sauvignon, Merlot and Syrah) is an opulent and pleasurable wine that moves gracefully over the palate thanks to its lively fruit, firm tannins and rich mouthfeel. The long fade is colored by nuances of vanilla and exotic spice.",92,N/A,Levia Gravia,"Red Blends, Red Blends","Bolgheri Superiore, Tuscany, Italy",Caccia al Piano 1868,N/A,750 ml,Red,12/31/2010,Not rated yet [Add Your Review],1_No Submitting Co,
50,Roger Voss,"The Tinta Caiada is the local name for Bastardo, which some believe to be identical to the Trousseau of eastern France. Putting the name aside, the wine is sweet but ele-gant, with flavors of new wood underlining the black fruit rather than dominating it. —R.V.",89,$18,Tinta Caiada,"Red Blends, Red Blends","Alentejano, Portugal",J. Portugal Ramos,N/A,750 ml,Red,12/31/2002,Not rated yet [Add Your Review],The House of Burgundy,
51,Roger Voss,"From Pierre Caslot, one of the top traditional winemakers in Bourgueil, comes this firm, quite tannic wine, whose solid structure is compensated by the fresh raspberry flavors. This needs at least three years aging, but it does show the firm, classic side of Bourgueil.",89,$22,Chevalerie,Cabernet Franc,"Bourgueil, Loire Valley, France",Domaine la Chevalerie,N/A,750 ml,Red,4/1/2007,Not rated yet [Add Your Review],Vintage '59 Imports,
52,Virginie Boone,"This wine was made by Bordeaux-trained winemaker Denis Malbec and his wife, sommelier May-Britt Malbec. They've sourced some exceptional fruit from the Reichel Vineyard, including some Malbec, with some Cabernet Franc also blended in. Offering big tannins that await the cellar, it is otherwise a juicy wine rich in black and blue berry fruit, as well as a taste of graham cracker and cigar. Enjoy through 2025.",90,$75,Indulgence Reichel Vineyard,Cabernet Sauvignon,"Alexander Valley, Sonoma, California, US",Respite,14.1%,750 ml,Red,12/31/2014,Not rated yet [Add Your Review],,Cellar Selection
53,,Sirio is a perfect pizza wine especially if that pie has savory toppings like sausage or spicy pepperoni on it. The wine is aged 12 months in large oak casks for extra softness and a subtle touch of wood spice beyond the bright blackberry and sweet cherry fruit.,86,$16,Sirio,"Montepulciano, Italian Red","Montepulciano d'Abruzzo, Central Italy, Italy",San Lorenzo,13%,750 ml,Red,7/1/2013,Not rated yet [Add Your Review],Shaw-Ross International Importers,
54,Roger Voss,"Set close to the sea (you can throw a stone into the water), this vineyard produces a fresh, almost salty wine, with a tight tang of citrus. It is perfumed, hinting at raspberries and pears. The aftertaste delivers a delicious, straight line of acidity.",90,$52,Clos Mireille,Rosé,"Côtes de Provence, Provence, France",Domaines Ott,13.5%,750 ml,Rose,7/1/2016,Not rated yet [Add Your Review],Maisons Marques & Domaines USA,
55,,"With loads of oak, pineapple and orange honey flavors, this sweet Chardonnay will appeal to those who like this heavy, over-the-top style.",82,$20,,Chardonnay,"Santa Barbara County, Central Coast, California, US",Red Pony Ranch,14.8%,750 ml,White,6/1/2011,Not rated yet [Add Your Review],,
56,Michael Schachner,"Gritty and corny on the nose, and frankly it's almost acrid.  Bitter; the only fruit that comes up is banana.",80,$9,120,Chardonnay,"Aconcagua Valley, Chile",Santa Rita,14.1%,750 ml,White,5/1/2008,Not rated yet [Add Your Review],Palm Bay International,
57,Michael Schachner,"Bramble, mint, herbs and spice accent raspberry and rhubarb aromas. The palate is angular and snappy, with dried leaf, berry, baked plum and peppery flavors. A little raspy, with an acceptable but noticeable burnt/roasted character.",85,$13,Crianza Tempranillo,"Tempranillo Blend, Tempranillo","Rioja, Northern Spain, Spain",Casa de la Reina,13.5%,750 ml,Red,7/1/2011,Not rated yet [Add Your Review],Vision Wine & Spirits,
58,Paul Gregutt,"Argyle sets the standard for Northwest sparkling wine, and this wine beguiles from the beginning. The massive bead, citrus-scented bouquet and perfect fruit is balanced elegantly by palate-clearing acids and just a hint of toast. The wine is a 100% barrel-fermented blend of 70% Pinot Noir and 30% Chardonnay.",89,$35,Knudsen Vineyard Brut,"Champagne Blend, Sparkling","Willamette Valley, Willamette Valley, Oregon, US",Argyle,13%,750 ml,Sparkling,12/31/2000,Not rated yet [Add Your Review],,
59,Michael Schachner,"Minerally black fruit aromas suggest hot and wet rocks, while this blend of Malbec, Cabernet Sauvignon and Petit Verdot is plump, flush and lush on the palate. Ripe blackberry, chocolate and mocha flavors settle with oaky richness on a smooth finish. Drink through 2025.",93,$50,Unus,Bordeaux-style Red Blend,"Mendoza, Mendoza Province, Argentina",Mendel,14.4%,750 ml,Red,7/1/2020,Not rated yet [Add Your Review],Vine Connections,
60,Paul Gregutt,"A blend of estate-grown Merlot, Cabernet Franc, Petit Verdot and Cabernet Sauvignon, this is a juicy, liquorous wine wrapped up tightly around sweet and tangy blackberry and cherry fruits. The tannins are svelte and the finish long, while the barrel aging brings on substantial flavors of cedar, Bourbon and vanilla.",93,$79,Estate Reserve Merlot-Petit Verdot-Cabernet Franc-Cabernet Sauvignon,Bordeaux-style Red Blend,"Walla Walla Valley (WA), Columbia Valley, Washington, US",Woodward Canyon,14.8%,750 ml,Red,3/1/2014,Not rated yet [Add Your Review],,Cellar Selection
61,Roger Voss,"Delicate and complex, a cool climate wine with a mixture of ripe cherry flavors and leaner ones of tobacco, tomato skin, and cranberry. Bone dry with excellent acidity, this somewhat tart wine is well made, and may be an ager.",88,$25,Paragon Vineyard,Pinot Noir,"Edna Valley, Central Coast, California, US",Kynsi,N/A,750ML,Red,7/1/2003,Not rated yet [Add Your Review],,
62,Paul Gregutt,"Yummy Pommard strikes again, as this wine opens immediately into ripe round tangy berry fruit, backed with juicy acids. There's a touch of freshly cut apple as an added highlight, and the wine moves gracefully across and down the palate into an extended finish. The best drinking is yet to come: enjoy 2020–2030.",93,$48,Freedom Hill Vineyard Pommard Clone,Pinot Noir,"Willamette Valley, Willamette Valley, Oregon, US",Patricia Green Cellars,14.1%,750 ml,Red,10/1/2018,Not rated yet [Add Your Review],,Cellar Selection
63,Joe Czerwinski,"The characteristic Sauvignon pungency of grapefruits and gooseberries has been smoothed over by barrel fermentation, resulting in a creamy, vanilla overlay that glides easily across the palate. Bright acidity shines through on the finish.",87,$13,Reserve,Sauvignon Blanc,"Hawke's Bay, New Zealand",Mills Reef,13%,750 ml,White,10/1/2000,Not rated yet [Add Your Review],Brown Miller Communications,
64,Michael Schachner,"Fresh pear and apple aromas are light, simple and clean. Like almost all Txakoli, this is acidic and highly citric in feel, with flavors of lemon and underripe pineapple.",86,$20,,"Hondarrabi Zuri, Spanish White","Getariako Txakolina, Northern Spain, Spain",Alleme,11.5%,750 ml,White,2/1/2018,Not rated yet [Add Your Review],Kysela Père et Fils,
65,,"A flamboyant Chardonnay. Shows flashy scents of vanilla and buttered toast from oak, riding high over pineapple, pear, golden mango and nectarine fruit. Crisp acidity provides needed balance to the richness. Good price for the quality.",90,$24,Unbridled Bien Nacido Vineyard,Chardonnay,"Santa Maria Valley, Central Coast, California, US",Wild Horse,14.5%,750 ml,White,8/1/2010,Not rated yet [Add Your Review],,
66,Alexander Peartree,"Opaque ruby in the glass, this blend of 90% Negroamaro and 10% Malvasia Nera offers a brooding nose of olive tapenade, crushed thyme and pepper over a core of dark plum and cherry. It's smooth on entry, with a building structure of zesty acidity and firm tannins. Spice and fruit have a nice interplay here, with a savory, herbal note extending on the finish. There's real energy to the core in a crushed granite-like quality, giving it lift and length. Drink now–2030.",92,$48,Donna Lisa Riserva,"Red Blends, Red Blends","Salice Salentino, Southern Italy, Italy",Leone de Castris,14.5%,750 ml,Red,10/1/2020,Not rated yet [Add Your Review],Vias Imports,
67,Matt Kettmann,"There's a touch of reductive petrol on the nose of this wine, which is a 50-50 blend between Vogelzang and Grassini vineyards. It also offers lime zest, golden pear flesh and barely ripe peach. A cut-grass element shows on the palate as well as sour lime and Bosc pear peels.",90,$28,,Sauvignon Blanc,"Happy Canyon of Santa Barbara, Central Coast, California, US",Dragonette,13.9%,750 ml,White,12/31/2015,Not rated yet [Add Your Review],,
68,Fiona Adams,"The nose blends aromas of cherry, blueberry, sweet baking spice, vanilla and cola. Cherry, strawberry and cranberry flavors are backed by tingling spice and vanilla on the palate. Tart acidity and soft, powdery tannins are disjointed, making the wine feel thin.",84,$18,,"Chambourcin, Other Red","Colorado, Colorado, US",Turquoise Mesa Winery,13.5%,750 ml,Red,9/1/2020,Not rated yet [Add Your Review],,
69,Joe Czerwinski,"Smells of powerful stone fruits such as nectarines and plums. Leaves a sweet, fruit-cocktail-like impression on the palate, but finishes clean and citrusy. A bit simple, but it makes for a satisfying, flavorful mouthful of wine.",86,$15,,Chardonnay,"Marlborough & Hawkes Bay, New Zealand",Oyster Bay,13.3%,750ML,White,9/1/2003,Not rated yet [Add Your Review],Lauber Imports,
70,Roger Voss,"88—90 Barrel sample. This property is the home of Michel Rolland  and wife Dany. They make a deliciously plumy wine, with blackberries, and ripe, juicy fruit.",89,N/A,Barrel sample,Bordeaux-style Red Blend,"Fronsac, Bordeaux, France",Château Fontenil,N/A,750 ml,Red,12/31/2009,Not rated yet [Add Your Review],Château Fontenil,
71,,"Ca' Camparsi opens with sweet aromas of mature cherry and raspberry and an easy feel in the mouth. The wine delivers crisp berry flavors and a compact, fine texture.",85,N/A,Ca' Camparsi,"Corvina, Rondinella, Molinara, Italian Red","Valpolicella Classico Superiore, Veneto, Italy",Bonazzi Dario e Fabio,14%,750 ml,Red,2/1/2011,Not rated yet [Add Your Review],1_No Submitting Co,
72,Michael Schachner,"Funky aromas of bath soap, sugar beets and spiced berry fruits lead the nose of this wine. Although the palate is grating, it delivers interesting spiced fruit and rhubarb flavors. Burnt notes rise up on the finish, recalling the texture of grape skins.",84,$11,Estate,Malbec,"Cafayate, Other, Argentina",Quara,13.5%,750 ml,Red,2/1/2018,Not rated yet [Add Your Review],Pampa Beverages LLC,
